country,unit,variable,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.527587105134727,0.4920267909011038,0.4714635823856798,0.45558401034192025,0.4512080073924162,0.4428199842056436,0.0
AGO,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.798760122883004,1.8257629559491733,1.733367026090421,1.6494734101385362,1.607876225583351,1.6127700141789838,0.0
ALB,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.9280121838916148,0.9438309469803031,0.9297154206804211,0.9254142938495339,0.9207535861341988,0.9123665812110349,0.0
ARE,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,5.097733200984059,5.4512478324804245,5.520739578338186,5.409410308936076,5.441061665112097,5.459397028324985,0.0
ARG,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,3.2260590767933373,3.2382930718054426,3.220046622529162,3.2175156075907556,3.2005367968361504,3.228756786633259,0.0
ARM,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.8639424978273953,0.8817125346503009,0.8990717640598375,0.8634680163461624,0.8091697260563614,0.7944077684095914,0.0
ATG,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.6774073990090427,0.6722453724240415,0.6701249463942023,0.6675285082543357,0.6608209389027025,0.6624457413071102,0.0
AUS,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,5.716529398100528,5.694906864970999,5.260294910683837,5.213890625695618,5.069185434067463,4.991166705430098,0.0
AUT,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.323683861263584,1.2670234366462663,1.2629137805773953,1.2557444797205386,1.2504262505302117,1.2278408517768458,0.0
AZE,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,2.307358522765779,2.2822038559314053,2.2321930017080676,2.1739349730424076,2.1497733729742166,2.3106553029911416,0.0
BDI,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.38458681692780095,0.3769759765828127,0.3880173080680166,0.41976971586129397,0.41300344743094614,0.42442630802005976,0.0
BEL,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.7524255863352216,1.7517813766614991,1.7264131366473618,1.7013845301816395,1.6994689241199084,1.6899051385569381,0.0
BEN,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.599010970061843,0.5813956684954049,0.5872293043313178,0.5861954735770087,0.6028588904687708,0.6143096039872721,0.0
BFA,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.9901547651211459,0.9860113054239199,0.988307435482726,0.9862693592951824,0.9764202824027027,0.9724900944682568,0.0
BGD,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.8605526595729017,0.8584726264653915,0.8453501185089103,0.8662172422684724,0.8754544743059118,0.8782093506674344,0.0
BGR,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.2640554169861606,1.3363987041368497,1.3227390137819799,1.3534054825925772,1.3384044258249217,1.36067433673461,0.0
BHR,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,20.857460090838664,20.226259741222638,19.53288820676041,18.26502432866096,17.784401215740335,17.492430700524523,0.0
BHS,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.8506430415294165,0.8517680506787012,0.850204258713918,0.8495858510383264,0.851211020574144,0.8539099272175892,0.0
BIH,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.4108643024747092,1.4476358830365528,1.540102658494334,1.5679120496277223,1.6945416490244827,1.710841682409653,0.0
BLR,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.8572390448700669,1.8786515292646415,1.8585059969449422,1.8768868728626813,1.8730981794987385,1.8777753685639433,0.0
BLZ,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.249631377500232,1.2355137573175803,1.2899203474485408,1.3194002021809461,1.3098308518609996,1.3268807738083541,0.0
BOL,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,2.703103288748619,2.6786675770205095,2.6302412603792287,2.5929578185502837,2.6079507968004885,2.5041430212018176,0.0
BRA,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,2.948277619070424,2.984383783524697,2.9900602984680145,2.960418976228196,2.9493831237199077,2.954329387459177,0.0
BRB,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.6970165303199157,0.6924197681141987,0.6908322926337832,0.6925523999984279,0.6925085388603477,0.6900346023536673,0.0
BRN,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,14.92879934619135,14.412234816577893,13.565464570992708,14.096650714755905,13.681589929201786,14.062647738077866,0.0
BTN,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.3914492412188935,1.3428153630221393,1.3434193524170157,1.3393336442273127,1.3196103728040418,1.316981765947608,0.0
BWA,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.7382065995863056,1.837725292085951,1.6512971409013506,1.446654945480337,1.644544261349352,1.6542395645272892,0.0
CAF,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.5097996550441217,1.5292834427232516,1.5704532083533589,1.5770970279023306,1.5683454506967651,1.5705186313808983,0.0
CAN,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,3.4876563689971634,3.546782280988764,3.4984233447312336,3.3957820088407686,3.422805306438615,3.3287779159230424,0.0
CHE,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.6837298936148075,0.6805632336191121,0.66398596298143,0.6584958629325685,0.654151717350046,0.6532061583435514,0.0
CHL,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.3767923858324038,1.2995969635180804,1.2935076205272131,1.297499533326681,1.3167155319449355,1.318222497019993,0.0
CHN,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.3689654157288644,1.3660258988128504,1.324233926300521,1.3253200552735074,1.316720969743406,1.3380854324400937,0.0
CIV,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.5790602990282621,0.5743702156338752,0.5844851351485553,0.5693211231318211,0.5637661663402292,0.5333109156887835,0.0
CMR,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.9818657561178974,1.0759459125333628,1.0485701121884041,0.9550101020110255,0.9584825512891045,0.973440117634095,0.0
COD,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.5078136011798972,0.506677653321421,0.4981741404650616,0.5092268282922965,0.49078457322971064,0.4807112003297277,0.0
COG,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,3.1607869856470336,2.950079037317448,2.8506772581334134,3.138160491208486,3.0715522557300283,3.043534741610103,0.0
COL,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.7872621356693614,1.7674464484383603,1.744250589857305,1.7816522515872755,1.8050380296950153,1.8213390359925337,0.0
COM,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.5536575026181869,0.5531311641021037,0.5566476174771209,0.5541585404370578,0.552542707443982,0.5504712610453666,0.0
CPV,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.36373255777482455,0.36480362635848224,0.3662362336964265,0.35016904733988335,0.3495782213188442,0.34949370344008035,0.0
CRI,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.023679574241511,1.0274755579701123,1.0579991700569218,1.0593431494161665,1.0523681943922052,1.085848468389643,0.0
CUB,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,1.347172188958008,1.2938108731222697,1.3098144127769227,1.2629165377167195,1.2746369220270661,1.277865459738358,0.0
CYP,tCO2eq per capita,Total CH4 emissions (excluding LULUCF) per capita,0.8296819676543461,0.8324442927621066,0.8482151100942668,0.8639759746154271,0.880789462363575,0.9039799880043544,0.0
