country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,gCH4 per USD,CH4 emissions from fuel combustion per USD,,,,,,,,,,,,,1.1491476329849943,1.0652059256456243,0.941306334147873,0.8213701013250496,0.7502203042708614,0.5529407685416697,0.5846099106758029,0.5315652699765825,0.4509141026379207,0.48076077601083045,0.39633668233513925,0.3946113463662846,0.3746866615076304,0.37994771301380126,0.36596346646015754,0.386061893758492,0.40380588813489193,0.4372468170728827
AGO,gCH4 per USD,CH4 emissions from fuel combustion per USD,2.9834091380399737,3.2346941666666558,4.224939651562496,6.22321717403628,8.268892641203358,6.662153903018922,4.955857917421208,4.903000724974805,5.763706826140546,6.14340807174888,4.173222707194918,4.2971940654697764,2.5448797012256015,2.206290361325446,1.6941198715748198,1.0846362874074587,0.7827264581703195,0.6435159053479238,0.48566381847089657,0.6258252743826616,0.5369960658449281,0.4105924388167978,0.36469316123291406,0.348182633017307,0.33284790083454485,0.42257042764478,0.489498762816325,0.4077828473462591,0.49135088851622233,0.5804253052676779
ALB,gCH4 per USD,CH4 emissions from fuel combustion per USD,3.731722662019678,9.458337149046475,15.946640312974615,8.605304048910103,3.312153414078643,0.6603239753129044,1.7439454658017266,2.1739958469655045,1.822491996840312,1.2639620914620133,1.2556189457680482,1.119298108613203,1.0487415895979328,0.8500406632061361,0.7056676038695545,0.5278143548012031,0.5642939357307775,0.47671119946806206,0.399026390888666,0.42676114223173334,0.4225733722154329,0.38709884024898705,0.3961093478370143,0.37569796148743895,0.3522791074352919,0.4294427294853873,0.36168347731953954,0.31029926256493157,0.26853285237464114,0.2811643968980848
AND,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.09037475069206592,0.09756727007657884,0.089255191321566,0.10625348901819391,0.09621157117523223,0.08483642328552685,0.09069032322318275,0.0880910047841734,0.08911388142979262,0.08629893123759864,0.0748749588998706,0.06916942887388736,0.05575456499252339,0.04318873686373656,0.03523411263654962,0.03101358584427441,0.025430774591398628,0.02087233401552063,0.020339577522353592,0.021989927557054516,0.02405820213579474,0.021767860019484338,0.02383335012188491,0.024109933708734304,0.023534387194490615,0.028316729700816508,0.026582163356083273,0.025665120342199588,0.021719433303856155,0.021584338033366218
ARE,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.07790705171255873,0.08166485246871831,0.08315023705251316,0.08719074436826636,0.08430978967337134,0.09339302658020673,0.0916118927725119,0.09335480170549172,0.10611259238469459,0.10385399805240457,0.09584293502514502,0.10260218443275342,0.10198859409868624,0.09328781462000343,0.08117741326431907,0.06643875664535281,0.051324407917883993,0.040323185145223234,0.033283185004971336,0.03652177662486985,0.029469886604951537,0.0226996609000785,0.02197065241727023,0.02073787054939376,0.019125007345387177,0.021611958477887463,0.023806518675338333,0.023573314795990518,0.02055824426838957,0.017137424137152718
ARG,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.08418677457057154,0.07326587156115939,0.06512561762137153,0.06673939993633107,0.06603480422622747,0.06627091433515449,0.0723866180292284,0.06624348235840456,0.07191880200001172,0.06842478387996741,0.06439042412353813,0.07108385196322621,0.18726207690831145,0.16302604749281366,0.15000795851179682,0.11975620353376482,0.10535039806495947,0.08833845193903489,0.07301732305825497,0.07538069852542102,0.061846798940885815,0.05356840239038827,0.05201633104645529,0.05362074630600045,0.05604958634900199,0.05094583674690516,0.052553096112289754,0.045212405178285286,0.054685442739618166,0.06815179215481912
ARM,gCH4 per USD,CH4 emissions from fuel combustion per USD,1.1564848731663693,1.212636466306939,1.8855540152809622,1.9062478516787107,1.6575947107876081,1.416587415046656,1.2335869176679288,1.1344974512953947,0.924103907282287,0.8886566470104407,0.80562317912561,0.5617267047023984,0.9426280193562905,0.9761098855766889,0.34390056445011463,0.2938493684617853,0.264705585421644,0.35193285050180007,0.29926151739872225,0.3492162452162892,0.36499956779988657,0.3766474133454968,0.39927226796076193,0.3767489005162872,0.35057456941739473,0.6547691558934146,0.8571860556330502,0.8249866998671752,0.7232334254916764,0.6681698598409166
ATG,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.08683911427811417,0.0846987182937238,0.0823182944379331,0.06857581818307648,0.06565669259673503,0.0696367392503818,0.06485415558685496,0.06097395070932219,0.05110878171400659,0.052597233098407734,0.047073323771961294,0.047096654791097974,0.04359136449839235,0.045306127744597316,0.040555396714815534,0.03499637943519199,0.029801419846497975,0.025747295066935613,0.024597276701115656,0.032401725921079205,0.029163402106729346,0.03498479629641679,0.03566820788552586,0.04079738926803571,0.03760802304491636,0.03403924002582389,0.030837015762688165,0.026362796893685907,0.023413014148822152,0.026488365661912903
AUS,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.42399195192908934,0.4111652975558297,0.4209164457424238,0.4453326970091266,0.4213039359818948,0.3642137680647581,0.326610370841184,0.29633101246366367,0.30795850160144833,0.29812473024073843,0.26469272594835913,0.28489732936005174,0.2443449592961158,0.2011164969906916,0.15028502597304824,0.12559792513213983,0.11423890965469989,0.09684346450206541,0.07714710197127524,0.0924526128390407,0.07363262151362641,0.05451002822487954,0.05140611706596339,0.049418420597037147,0.05587715890558537,0.06212356772734477,0.07524746884923156,0.06647157926328122,0.0631418500596327,0.06192740007851068
AUT,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.14778024504136314,0.14614989004800874,0.11841409587117467,0.11398272834820568,0.09728044997648941,0.08670821802430514,0.08724938764401703,0.0860001411586968,0.07972146807118305,0.07962840798607315,0.08312652000888075,0.08657843255072864,0.07369579433043726,0.05909858314867752,0.05042169085828637,0.046821770891806926,0.044605677204737834,0.037257290767200295,0.03402368740259117,0.035842406688506676,0.04002293214503511,0.03358929010454293,0.036638821353319556,0.03510068948986549,0.030502628047180545,0.03612838313335734,0.035620690902503034,0.034271103209034925,0.029000271534311405,0.029662129955723784
